Partner Name,Tier,Location,References,Certified Experts,Profile URL,Certified Versions,References Total,Customer Retention %,Largest Reference Users,Average Reference Users,Reference Industries,RI_Agriculture,RI_Construction_Renovation,RI_ECO_liable_to_deduct_TCS_u_s_52,RI_ECO_liable_to_pay_GST_u_s_9_5,RI_Education,RI_Entertainment_Media,RI_Finance_Legal_Insurance,RI_Food_Hospitality_Tourism_Beverage,RI_Government,RI_HR_Administrative_Consulting,RI_Health_Social_Welfare_Pharmaceutical,RI_Households,RI_IT_Communication_Marketing,RI_Manufacturing_Maintenance,RI_Mining_Quarrying,RI_NGO,RI_Other_Services,RI_Real_Estate,RI_Science_Technology,RI_Transportation_Logistics,RI_Utilities_Energy_Water_supply,RI_Wholesale_Retail
Softhealer Technologies Private Limited,Silver,"India , Gujarat , Rajkot , 360006",92,10,https://www.odoo.com/partners/softhealer-technologies-private-limited-13363635,v19:3; v18:6; v17:1,92.0,95.0,300,12,Manufacturing / Maintenance 22 Wholesale / Retail 22 Science & Technology 5 Health / Social Welfare / Pharmaceutical 4 IT / Communication / Marketing 4 Construction & Renovation 4 Other Services 4 Real Estate 3 Entertainment / Media 3 Transportation/Logistics 3,0,4,0,0,0,3,0,0,0,0,4,0,4,22,0,0,4,3,5,3,0,22
MILLORAMEX TECNOLOGIA,Silver,"Mexico , Ciudad de México , Álvaro Obregón , 01900",91,0,https://www.odoo.com/partners/milloramex-tecnologia-1786702,,91.0,82.0,100,12,Wholesale / Retail 11 Science & Technology 8 Manufacturing / Maintenance 4 Finance / Legal / Insurance 2 Health / Social Welfare / Pharmaceutical 1 Construction & Renovation 1 Other Services 1,0,1,0,0,0,0,2,0,0,0,1,0,0,4,0,0,1,0,8,0,0,11
Applix,Silver,"Belgium , Oostende , 8400",90,0,https://www.odoo.com/partners/applix-1016930,,90.0,100.0,100,6,Wholesale / Retail 25 Other Services 7 Manufacturing / Maintenance 7 Food / Hospitality / Tourism / Beverage 6 IT / Communication / Marketing 3 Utilities / Energy / Water supply 2 Construction & Renovation 2 NGO 1 Health / Social Welfare / Pharmaceutical 1 Education 1,0,2,0,0,1,0,0,6,0,0,1,0,3,7,0,1,7,0,0,0,2,25
iterativo,Silver,"Dominican Republic , Distrito Nacional , Santo Domingo , 10114",88,8,https://www.odoo.com/partners/iterativo-1099255,v18:5; v17:3,88.0,90.0,300,19,Wholesale / Retail 24 Manufacturing / Maintenance 11 Construction & Renovation 8 IT / Communication / Marketing 8 Health / Social Welfare / Pharmaceutical 8 Other Services 8 Agriculture 7 Real Estate 5 Utilities / Energy / Water supply 3 Transportation/Logistics 2,7,8,0,0,0,0,0,0,0,0,8,0,8,11,0,0,8,5,0,2,3,24
Digital Information Strategy S.A. (Delfix),Silver,"Costa Rica , Curridabat , 111",87,4,https://www.odoo.com/partners/digital-information-strategy-sa-delfix-738273,v18:1; v17:3,87.0,86.0,100,15,Wholesale / Retail 16 Manufacturing / Maintenance 9 Utilities / Energy / Water supply 9 Science & Technology 7 IT / Communication / Marketing 7 Other Services 6 Health / Social Welfare / Pharmaceutical 5 Food / Hospitality / Tourism / Beverage 4 Transportation/Logistics 4 Households 3,0,0,0,0,0,0,0,4,0,0,5,3,7,9,0,0,6,0,7,4,9,16
INFORMATICA SISTEMES I TECNOLOGIA DIGITAL SL,Silver,"Spain , Barcelona , BARCELONA , 08041",87,4,https://www.odoo.com/partners/informatica-sistemes-i-tecnologia-digital-sl-1532020,v18:2; v17:2,87.0,89.0,100,10,Wholesale / Retail 25 Manufacturing / Maintenance 15 Other Services 10 Construction & Renovation 6 Health / Social Welfare / Pharmaceutical 5 Entertainment / Media 5 Food / Hospitality / Tourism / Beverage 5 Government 3 Utilities / Energy / Water supply 3 Finance / Legal / Insurance 2,0,6,0,0,0,5,2,5,3,0,5,0,0,15,0,0,10,0,0,0,3,25
OZ SOLUTIONS S.A.C.,Silver,"Peru , Lima , 15036",87,7,https://www.odoo.com/partners/oz-solutions-sac-4378126,v19:2; v18:2; v17:3,87.0,82.0,200,18,Wholesale / Retail 22 Manufacturing / Maintenance 20 Other Services 8 IT / Communication / Marketing 8 Transportation/Logistics 8 Health / Social Welfare / Pharmaceutical 3 Education 3 Construction & Renovation 3 Food / Hospitality / Tourism / Beverage 2 Agriculture 2,2,3,0,0,3,0,0,2,0,0,3,0,8,20,0,0,8,0,0,8,0,22
iWesabe Technologies / اي ويساب للتقنيات,Silver,"Saudi Arabia , Al-Khobar , Al Khobar | Jubail | Riyadh | Jeddah , 34623",86,9,https://www.odoo.com/partners/iwesabe-technologies-اي-ويساب-للتقنيات-15809041,v19:2; v18:3; v17:4,86.0,81.0,200,20,Manufacturing / Maintenance 21 Wholesale / Retail 19 Construction & Renovation 14 Food / Hospitality / Tourism / Beverage 10 Transportation/Logistics 6 Finance / Legal / Insurance 5 IT / Communication / Marketing 3 Utilities / Energy / Water supply 3 Health / Social Welfare / Pharmaceutical 3 Entertainment / Media 2,0,14,0,0,0,2,5,10,0,0,3,0,3,21,0,0,0,0,0,6,3,19
Odovia Integration,Silver,"Canada , Quebec , Montréal , H2K 3T1",84,5,https://www.odoo.com/partners/odovia-integration-11304128,v19:1; v18:3; v17:1,84.0,96.0,200,13,Manufacturing / Maintenance 30 Other Services 10 Wholesale / Retail 9 Construction & Renovation 8 Health / Social Welfare / Pharmaceutical 6 Food / Hospitality / Tourism / Beverage 5 Utilities / Energy / Water supply 2 Education 2 Agriculture 2 IT / Communication / Marketing 2,2,8,0,0,2,0,0,5,0,0,6,0,2,30,0,0,10,0,0,0,2,9
OAKLAND - odooERP.ae,Silver,"United Arab Emirates , Sharjah , Sharjah , 43132",81,5,https://www.odoo.com/partners/oakland-odooerpae-1973969,v19:1; v18:2; v17:2,81.0,,100,18,Wholesale / Retail 29 Manufacturing / Maintenance 16 Real Estate 10 Food / Hospitality / Tourism / Beverage 9 Construction & Renovation 6 Finance / Legal / Insurance 5 Utilities / Energy / Water supply 3 IT / Communication / Marketing 2 Transportation/Logistics 2 Health / Social Welfare / Pharmaceutical 1,0,6,0,0,0,0,5,9,0,0,1,0,2,16,0,0,0,10,0,2,3,29
Consultoria Henca,Silver,"Dominican Republic , Santo Domingo , 10114",80,3,https://www.odoo.com/partners/consultoria-henca-449159,v18:1; v17:2,80.0,91.0,200,13,Other Services 4 Food / Hospitality / Tourism / Beverage 3 Manufacturing / Maintenance 3 IT / Communication / Marketing 2 Education 2 Utilities / Energy / Water supply 2 Wholesale / Retail 1 Entertainment / Media 1 Science & Technology 1 Construction & Renovation 1,0,1,0,0,2,1,0,3,0,0,0,0,2,3,0,0,4,0,1,0,2,1
Online ERP Kft.,Silver,"Hungary , Budaörs , 2040",80,3,https://www.odoo.com/partners/online-erp-kft-21821663,v18:2; v17:1,80.0,,100,14,Manufacturing / Maintenance 26 Wholesale / Retail 21 IT / Communication / Marketing 8 Science & Technology 7 Other Services 5 Utilities / Energy / Water supply 3 Construction & Renovation 3 HR / Administrative / Consulting 2 Finance / Legal / Insurance 1 Education 1,0,3,0,0,1,0,1,0,0,2,0,0,8,26,0,0,5,0,7,0,3,21
Havi Technology,Silver,"Australia , Victoria , Melbourne , 3000",79,2,https://www.odoo.com/partners/havi-technology-565083,v17:2,79.0,88.0,100,13,Manufacturing / Maintenance 16 Wholesale / Retail 11 Construction & Renovation 7 Other Services 5 IT / Communication / Marketing 5 Science & Technology 3 Health / Social Welfare / Pharmaceutical 2 Food / Hospitality / Tourism / Beverage 2 Entertainment / Media 1 Education 1,0,7,0,0,1,1,0,2,0,0,2,0,5,16,0,0,5,0,3,0,0,11
Openforce srl,Silver,"Italy , Fermo , Pedaso , 63827",79,3,https://www.odoo.com/partners/openforce-srl-1986856,v18:1; v17:2,79.0,95.0,100,12,Other Services 20 IT / Communication / Marketing 12 Manufacturing / Maintenance 10 Wholesale / Retail 10 Construction & Renovation 9 Food / Hospitality / Tourism / Beverage 5 Health / Social Welfare / Pharmaceutical 3 Finance / Legal / Insurance 3 Transportation/Logistics 3 Utilities / Energy / Water supply 2,0,9,0,0,0,0,3,5,0,0,3,0,12,10,0,0,20,0,0,3,2,10
Phidias,Silver,"France , Marseille , 13013",79,3,https://www.odoo.com/partners/phidias-1404454,v17:3,79.0,86.0,200,16,Wholesale / Retail 25 Other Services 14 Manufacturing / Maintenance 9 IT / Communication / Marketing 7 Construction & Renovation 5 Food / Hospitality / Tourism / Beverage 4 Health / Social Welfare / Pharmaceutical 4 Utilities / Energy / Water supply 2 HR / Administrative / Consulting 2 Finance / Legal / Insurance 1,0,5,0,0,0,0,1,4,0,2,4,0,7,9,0,0,14,0,0,0,2,25
SOLTEIN,Silver,"Mexico , Jalisco , Guadalajara , 44535",79,2,https://www.odoo.com/partners/soltein-1448675,v18:1; v17:1,79.0,82.0,1000,48,Manufacturing / Maintenance 15 Food / Hospitality / Tourism / Beverage 13 Wholesale / Retail 13 Other Services 9 Government 4 Agriculture 3 Health / Social Welfare / Pharmaceutical 3 Finance / Legal / Insurance 3 IT / Communication / Marketing 3 Construction & Renovation 2,3,2,0,0,0,0,3,13,4,0,3,0,3,15,0,0,9,0,0,0,0,13
Sapentia,Silver,"United Kingdom , Lichfield , WS13 6EU",79,3,https://www.odoo.com/partners/sapentia-3257606,v18:1; v17:2,79.0,85.0,200,16,Manufacturing / Maintenance 17 Wholesale / Retail 11 Other Services 7 Food / Hospitality / Tourism / Beverage 6 Health / Social Welfare / Pharmaceutical 4 Entertainment / Media 3 Utilities / Energy / Water supply 3 Households 2 IT / Communication / Marketing 2 Finance / Legal / Insurance 1,0,0,0,0,0,3,1,6,0,0,4,2,2,17,0,0,7,0,0,0,3,11
Garber Web Solutions SL,Silver,"Spain , Alacant (Alicante) , Aspe , 03680",78,4,https://www.odoo.com/partners/garber-web-solutions-sl-7059869,v18:2; v17:2,78.0,88.0,40,5,Manufacturing / Maintenance 20 Wholesale / Retail 18 Science & Technology 6 Other Services 4 NGO 3 Health / Social Welfare / Pharmaceutical 3 Construction & Renovation 3 Food / Hospitality / Tourism / Beverage 3 Entertainment / Media 2 IT / Communication / Marketing 2,0,3,0,0,0,2,0,3,0,0,3,0,2,20,0,3,4,0,6,0,0,18
NEXIT,Silver,"Uruguay , Montevideo , Montevideo , 11300",77,4,https://www.odoo.com/partners/nexit-1269723,v18:1; v17:3,77.0,100.0,400,31,IT / Communication / Marketing 13 Other Services 11 Wholesale / Retail 7 Manufacturing / Maintenance 6 Construction & Renovation 6 Food / Hospitality / Tourism / Beverage 4 Health / Social Welfare / Pharmaceutical 4 Finance / Legal / Insurance 3 Transportation/Logistics 3 Utilities / Energy / Water supply 2,0,6,0,0,0,0,3,4,0,0,4,0,13,6,0,0,11,0,0,3,2,7
Alia ICT,Silver,"Saudi Arabia , Riyadh , Riyadh , 11543",76,3,https://www.odoo.com/partners/alia-ict-4941796,v18:2; v17:1,76.0,97.0,100,3,Food / Hospitality / Tourism / Beverage 6 IT / Communication / Marketing 2 Construction & Renovation 2 Real Estate 1 Science & Technology 1 Wholesale / Retail 1,0,2,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,1,1,0,0,1
QORELIS SOLUTIONS inc.,Silver,"Canada , Quebec , Montreal , H3C 0B4",76,3,https://www.odoo.com/partners/qorelis-solutions-inc-16104647,v18:1; v17:2,76.0,98.0,50,5,Government 68 Manufacturing / Maintenance 5 Other Services 5 Wholesale / Retail 3 Science & Technology 1 Entertainment / Media 1 Education 1 Health / Social Welfare / Pharmaceutical 1,0,0,0,0,1,1,0,0,68,0,1,0,0,5,0,0,5,0,1,0,0,3
PSDC INC.,Silver,"Panama , Panama , Panama , 0000",74,6,https://www.odoo.com/partners/psdc-inc-1984942,v19:2; v18:2; v17:2,74.0,84.0,200,14,Education 4 Science & Technology 3 Health / Social Welfare / Pharmaceutical 3 Manufacturing / Maintenance 2 Wholesale / Retail 2 Real Estate 1 IT / Communication / Marketing 1 Construction & Renovation 1 Food / Hospitality / Tourism / Beverage 1 Entertainment / Media 1,0,1,0,0,4,1,0,1,0,0,3,0,1,2,0,0,0,1,3,0,0,2
PT. UNRAVEL CONSULTING INDONESIA,Silver,"Indonesia , Jakarta , Jakarta , 12430",74,3,https://www.odoo.com/partners/pt-unravel-consulting-indonesia-17018485,v18:3,74.0,100.0,50,3,Real Estate 15 Wholesale / Retail 9 Other Services 8 Food / Hospitality / Tourism / Beverage 7 Science & Technology 7 Finance / Legal / Insurance 6 HR / Administrative / Consulting 6 IT / Communication / Marketing 5 Health / Social Welfare / Pharmaceutical 4 Manufacturing / Maintenance 3,0,0,0,0,0,0,6,7,0,6,4,0,5,3,0,0,8,15,7,0,0,9
Peter Schwarz,Silver,"Germany , Berlin , Berlin , 10627",74,2,https://www.odoo.com/partners/peter-schwarz-1005494,v18:1; v17:1,74.0,93.0,200,9,Manufacturing / Maintenance 17 Other Services 8 IT / Communication / Marketing 8 Wholesale / Retail 7 Health / Social Welfare / Pharmaceutical 4 Food / Hospitality / Tourism / Beverage 4 ECO liable to deduct TCS u/s 52 4 Construction & Renovation 3 Finance / Legal / Insurance 2 Utilities / Energy / Water supply 2,0,3,4,0,0,0,2,4,0,0,4,0,8,17,0,0,8,0,0,0,2,7
Dow Group DMCC,Silver,"United Arab Emirates , Dubai , Dubai , 337510",73,4,https://www.odoo.com/partners/dow-group-dmcc-4937983,v19:3; v18:1,73.0,81.0,100,5,Wholesale / Retail 25 Manufacturing / Maintenance 8 Health / Social Welfare / Pharmaceutical 7 Food / Hospitality / Tourism / Beverage 3 Construction & Renovation 3 Other Services 3 IT / Communication / Marketing 3 Agriculture 2 Science & Technology 2 Real Estate 2,2,3,0,0,0,0,0,3,0,0,7,0,3,8,0,0,3,2,2,0,0,25
Omydoo,Silver,"France , Chapdes-Beaufort , 63230",73,6,https://www.odoo.com/partners/omydoo-3985469,v17:6,73.0,92.0,100,10,Wholesale / Retail 14 Manufacturing / Maintenance 12 IT / Communication / Marketing 11 Utilities / Energy / Water supply 7 Food / Hospitality / Tourism / Beverage 5 Health / Social Welfare / Pharmaceutical 4 Other Services 3 Entertainment / Media 2 Agriculture 2 Finance / Legal / Insurance 2,2,0,0,0,0,2,2,5,0,0,4,0,11,12,0,0,3,0,0,0,7,14
Digimedio BV,Silver,"Belgium , Antwerpen , Hoogstraten , 2320",72,0,https://www.odoo.com/partners/digimedio-bv-3518196,,72.0,94.0,200,9,Wholesale / Retail 17 Construction & Renovation 14 Manufacturing / Maintenance 11 Other Services 5 Utilities / Energy / Water supply 4 Science & Technology 4 Food / Hospitality / Tourism / Beverage 3 Transportation/Logistics 3 IT / Communication / Marketing 2 Education 2,0,14,0,0,2,0,0,3,0,0,0,0,2,11,0,0,5,0,4,3,4,17
Falinwa Limited 法林瓦管理咨询（深圳）有限公司,Silver,"China , Shenzhen/深圳 , 518042",72,4,https://www.odoo.com/partners/falinwa-limited-法林瓦管理咨询深圳有限公司-10645,v18:1; v17:3,72.0,92.0,300,29,Manufacturing / Maintenance 27 Wholesale / Retail 16 Finance / Legal / Insurance 3 Other Services 2 Health / Social Welfare / Pharmaceutical 1 Food / Hospitality / Tourism / Beverage 1 Science & Technology 1 IT / Communication / Marketing 1,0,0,0,0,0,0,3,1,0,0,1,0,1,27,0,0,2,0,1,0,0,16
INTEGRATED PATH المسار المتكامل,Silver,"Iraq , Baghdad , 10010",72,4,https://www.odoo.com/partners/integrated-path-المسار-المتكامل-1601891,v18:3; v17:1,72.0,,200,16,Wholesale / Retail 21 Health / Social Welfare / Pharmaceutical 12 Construction & Renovation 6 Other Services 6 Manufacturing / Maintenance 5 IT / Communication / Marketing 5 Real Estate 4 Finance / Legal / Insurance 4 Food / Hospitality / Tourism / Beverage 3 Transportation/Logistics 3,0,6,0,0,0,0,4,3,0,0,12,0,5,5,0,0,6,4,0,3,0,21
Master IT,Silver,"Albania , Tirane , 1046",70,3,https://www.odoo.com/partners/master-it-3909575,v19:1; v18:1; v17:1,70.0,95.0,100,8,Wholesale / Retail 19 Manufacturing / Maintenance 18 Food / Hospitality / Tourism / Beverage 8 Finance / Legal / Insurance 4 Health / Social Welfare / Pharmaceutical 4 HR / Administrative / Consulting 3 Science & Technology 2 Construction & Renovation 2 Education 2 IT / Communication / Marketing 1,0,2,0,0,2,0,4,8,0,3,4,0,1,18,0,0,0,0,2,0,0,19
Zeumat Zitycard S.L.,Silver,"Spain , Zaragoza , Zaragoza , 50006",70,4,https://www.odoo.com/partners/zeumat-zitycard-sl-1098556,v19:1; v18:3,70.0,94.0,30,4,Wholesale / Retail 11 Other Services 10 Health / Social Welfare / Pharmaceutical 6 Manufacturing / Maintenance 5 Science & Technology 5 Finance / Legal / Insurance 4 IT / Communication / Marketing 4 Construction & Renovation 4 Food / Hospitality / Tourism / Beverage 4 Entertainment / Media 2,0,4,0,0,0,2,4,4,0,0,6,0,4,5,0,0,10,0,5,0,0,11
CM Corp,Silver,"Chile , Las Condes , 7560903",68,2,https://www.odoo.com/partners/cm-corp-8397859,v17:2,68.0,97.0,100,16,Wholesale / Retail 20 Mining & Quarrying 7 Manufacturing / Maintenance 7 Construction & Renovation 7 IT / Communication / Marketing 5 Food / Hospitality / Tourism / Beverage 5 Finance / Legal / Insurance 3 Agriculture 2 Education 1 Other Services 1,2,7,0,0,1,0,3,5,0,0,0,0,5,7,7,0,1,0,0,0,0,20
Zero l Odoo Partner,Silver,"Albania , Tirana , 1001",68,1,https://www.odoo.com/partners/zero-l-odoo-partner-4282933,v17:1,68.0,88.0,100,14,Food / Hospitality / Tourism / Beverage 12 Wholesale / Retail 6 Finance / Legal / Insurance 5 IT / Communication / Marketing 5 Manufacturing / Maintenance 3 Construction & Renovation 3 Health / Social Welfare / Pharmaceutical 3 Utilities / Energy / Water supply 2 Education 2 Science & Technology 1,0,3,0,0,2,0,5,12,0,0,3,0,5,3,0,0,0,0,1,0,2,6
Tech Things Ltd,Silver,"Uganda , Kampala , /",67,3,https://www.odoo.com/partners/tech-things-ltd-10214611,v18:1; v17:2,67.0,,100,7,Finance / Legal / Insurance 8 Wholesale / Retail 7 Utilities / Energy / Water supply 6 Manufacturing / Maintenance 6 Food / Hospitality / Tourism / Beverage 6 IT / Communication / Marketing 3 Education 2 Construction & Renovation 2 Science & Technology 2 Transportation/Logistics 2,0,2,0,0,2,0,8,6,0,0,0,0,3,6,0,0,0,0,2,2,6,7
Impactic OÜ,Silver,"Estonia , Tartu , 51004",66,7,https://www.odoo.com/partners/impactic-ou-1700274,v18:4; v17:3,66.0,87.0,200,27,Manufacturing / Maintenance 28 Wholesale / Retail 12 IT / Communication / Marketing 5 Other Services 3 Food / Hospitality / Tourism / Beverage 3 Transportation/Logistics 3 Utilities / Energy / Water supply 2 Government 2 Construction & Renovation 2 Education 1,0,2,0,0,1,0,0,3,2,0,0,0,5,28,0,0,3,0,0,3,2,12
Merit Advisory Services LLP,Silver,"Somalia , Somaliland , Mogadishu, Hargeisa, Bosaso, Garowe, Kolkata India, Nairobi Kenya, and Lusaka Zambia , NL0000",65,2,https://www.odoo.com/partners/merit-advisory-services-llp-3061795,v18:1; v17:1,65.0,94.0,40,5,Wholesale / Retail 14 Utilities / Energy / Water supply 13 Food / Hospitality / Tourism / Beverage 9 Health / Social Welfare / Pharmaceutical 7 Construction & Renovation 6 Manufacturing / Maintenance 3 Real Estate 2 Finance / Legal / Insurance 2 IT / Communication / Marketing 1 Science & Technology 1,0,6,0,0,0,0,2,9,0,0,7,0,1,3,0,0,0,2,1,0,13,14
PROINTEC S.A.,Silver,"Costa Rica , San José , Zapote , 10105",65,1,https://www.odoo.com/partners/prointec-sa-2190645,v17:1,65.0,96.0,50,8,Other Services 11 Wholesale / Retail 10 Construction & Renovation 7 Manufacturing / Maintenance 6 Food / Hospitality / Tourism / Beverage 5 Finance / Legal / Insurance 4 IT / Communication / Marketing 3 Health / Social Welfare / Pharmaceutical 3 Agriculture 2 Utilities / Energy / Water supply 2,2,7,0,0,0,0,4,5,0,0,3,0,3,6,0,0,11,0,0,0,2,10
Mindphin Technologies Pvt. Ltd.,Silver,"India , Gujarat , Gandhinagar , 382421",64,2,https://www.odoo.com/partners/mindphin-technologies-pvt-ltd-10727770,v18:2,64.0,82.0,40,6,Wholesale / Retail 26 IT / Communication / Marketing 6 Finance / Legal / Insurance 4 Other Services 4 Households 3 Manufacturing / Maintenance 3 Food / Hospitality / Tourism / Beverage 3 Health / Social Welfare / Pharmaceutical 2 Science & Technology 1 Agriculture 1,1,0,0,0,0,0,4,3,0,0,2,3,6,3,0,0,4,0,1,0,0,26
"Adaptapro, EIRL",Silver,"Peru , Lima , 15047",63,2,https://www.odoo.com/partners/adaptapro-eirl-4504859,v18:1; v17:1,63.0,84.0,100,11,Wholesale / Retail 8 Health / Social Welfare / Pharmaceutical 7 Construction & Renovation 5 Manufacturing / Maintenance 5 Science & Technology 4 IT / Communication / Marketing 3 Education 3 Other Services 2 Finance / Legal / Insurance 2 Food / Hospitality / Tourism / Beverage 2,0,5,0,0,3,0,2,2,0,0,7,0,3,5,0,0,2,0,4,0,0,8
Reach Concept,Silver,"United States , Virginia , Chantilly , 20151",63,6,https://www.odoo.com/partners/reach-concept-1759763,v19:2; v18:3; v17:1,63.0,86.0,50,12,Wholesale / Retail 24 Manufacturing / Maintenance 14 Construction & Renovation 12 Other Services 3 IT / Communication / Marketing 3 NGO 2 Health / Social Welfare / Pharmaceutical 1 Finance / Legal / Insurance 1,0,12,0,0,0,0,1,0,0,0,1,0,3,14,0,2,3,0,0,0,0,24
Abstractive BV,Silver,"Belgium , Hekelgem , 1790",62,3,https://www.odoo.com/partners/abstractive-bv-4777311,v18:3,62.0,91.0,200,10,Wholesale / Retail 16 Construction & Renovation 8 Food / Hospitality / Tourism / Beverage 8 Finance / Legal / Insurance 7 NGO 5 Other Services 4 IT / Communication / Marketing 4 Manufacturing / Maintenance 4 Science & Technology 3 Education 1,0,8,0,0,1,0,7,8,0,0,0,0,4,4,0,5,4,0,3,0,0,16
GW DIGITAL CONSULTING GROUP,Silver,"Mexico , Nuevo Leon , SAN PEDRO GARZA GARCIA , 66220",62,3,https://www.odoo.com/partners/gw-digital-consulting-group-11498426,v17:3,62.0,81.0,100,12,Manufacturing / Maintenance 4 Food / Hospitality / Tourism / Beverage 3 Education 2 Transportation/Logistics 2 Science & Technology 2 IT / Communication / Marketing 1 Wholesale / Retail 1 Other Services 1 Utilities / Energy / Water supply 1 Finance / Legal / Insurance 1,0,0,0,0,2,0,1,3,0,0,0,0,1,4,0,0,1,0,2,2,1,1
Hermes d.o.o.,Silver,"Slovenia , Ljubljana – Šentvid , 1210",61,3,https://www.odoo.com/partners/hermes-doo-2101103,v18:2; v17:1,61.0,92.0,200,16,Wholesale / Retail 19 Manufacturing / Maintenance 11 Other Services 9 Construction & Renovation 5 IT / Communication / Marketing 4 Food / Hospitality / Tourism / Beverage 3 Transportation/Logistics 2 Utilities / Energy / Water supply 2 Real Estate 1 Finance / Legal / Insurance 1,0,5,0,0,0,0,1,3,0,0,0,0,4,11,0,0,9,1,0,2,2,19
HNG Business Solutions,Silver,"Egypt , Cairo , Cairo Governorate , 11736",60,4,https://www.odoo.com/partners/hng-business-solutions-15240208,v19:1; v18:1; v17:2,60.0,96.0,30,7,Construction & Renovation 14 Wholesale / Retail 10 Manufacturing / Maintenance 8 IT / Communication / Marketing 7 Health / Social Welfare / Pharmaceutical 5 Utilities / Energy / Water supply 4 Transportation/Logistics 3 Food / Hospitality / Tourism / Beverage 2 Education 2 Real Estate 2,0,14,0,0,2,0,0,2,0,0,5,0,7,8,0,0,0,2,0,3,4,10
